Age,Study_Hours,Attendance,Marks
24,6.270225101803958,75.7808719443252,83.37
18,2.839598259919029,64.27024263743537,50.91
18,2.388604891917819,73.42640259187853,52.29
21,3.4984763138646544,66.78719615582263,57.89
24,2.949000260559688,85.87393446674895,55.73
20,2.633920777329895,75.53073535959489,53.58
20,5.899548076977467,69.17578982819799,78.13
18,8.557848687771923,70.63751699856957,90.26
20,3.6661132500869744,74.41380380821073,57.72
20,1.616363487499394,70.3979945141705,44.13
18,6.31359466232796,78.12963387315324,90.31
20,2.128198361251936,61.29263804438602,45.67
22,2.633468757091162,71.19054028675782,58.41
19,5.98999130838339,76.44826883488744,76.51
24,4.669380770892875,84.11127528093195,72.25
19,3.6256496493349797,70.83830570060519,61.37
18,5.136702502207658,65.32740500895,55.59
21,4.1811823388568845,63.04801518396653,66.22
24,8.779095312253165,97.62127308541534,99.98
18,3.6483905315572067,76.66556230953917,64.84
21,3.1731749253551698,83.24650484723306,62.12
19,4.089933652024867,96.76706207342238,59.73
18,4.174476773619787,63.30993680141225,47.27
24,6.191287303608643,95.06645943703171,94.72
24,1.0169244269371722,82.0635149017628,47.03
23,5.852051733668004,66.59337044548003,69.05
22,3.917429116720065,76.45020466341477,57.51
20,6.5536460088512065,91.10409134940902,91.43
21,4.9047125776859115,79.21480327465419,70.86
23,6.037388915435559,99.41144202662016,93.34
20,4.217196375836337,75.06955879751763,66.16
20,5.87604519484335,89.98313199904288,90.92
18,8.327539578896502,75.71957795915436,101.76
20,3.5215271370897856,93.16656882826058,69.04
22,4.7856110496777475,82.7632587666299,69.63
24,4.027565428493752,62.54047318360006,55.11
23,8.185963588518929,61.47287470543966,89.82
20,4.132116801979897,65.35408475202533,68.4
18,3.5346155973923112,60.54687859307989,50.46
22,3.843446172071725,63.01436241409849,57.26
19,4.728565235363536,87.66857588675649,61.67
24,3.4129899646547783,81.37385100117852,63.23
24,4.263100021826607,89.99642997879887,81.39
23,5.3144037101941555,96.52663009030572,76.46
24,4.769053180152534,83.40598129301888,87.39
20,6.663417153951695,89.04483376287392,89.84
18,4.361289844370444,90.28324808169823,58.14
24,4.590766989044823,75.11402197103146,64.84
24,5.542123497484527,69.64339329318527,78.85
19,9.489613212021126,68.201813140261,113.19
19,3.4247961792822568,70.05769758047194,59.01
21,8.847248824290558,70.98927188103636,107.01
22,2.6328536641109244,68.28910596032226,42.49
20,5.457940864460875,95.12882669916769,78.31
24,4.321227413643606,90.27996528688915,62.28
24,3.3694581269561525,61.875858711648796,48.68
18,6.3981847637199785,70.74689928101229,83.29
21,6.199793267422011,60.88738968121206,75.02
22,4.037503732352988,79.92660746583572,68.61
21,0.8124119919298742,79.04842787156056,33.44
23,4.159905070744967,93.25485960250005,66.2
22,5.278408221913632,72.31108959084197,72.17
24,5.003627222389352,92.6554294085225,74.08
24,6.5118705635833045,98.71895061759292,98.09
22,8.867085258859984,63.536328934625864,93.21
24,5.827749674501614,91.67271357878532,80.81
20,6.13553673551525,83.59823588550545,84.62
22,5.296363462758299,79.201838680739,72.11
21,7.344871564784485,76.821431146603,83.31
22,6.062800021920659,91.38673055777238,79.56
24,6.498211353928648,85.5744542789697,88.9
20,8.617913658040326,92.20178670077448,99.03
20,5.4539686024386995,96.12604234706505,89.07
23,4.458075475664523,84.69054848389169,66.09
21,5.892578696003836,99.21850900369512,89.91
19,7.272484634238525,84.3235139816754,88.76
19,6.0028535140521635,85.4657728648913,77.63
22,7.121277157642821,82.19262434168903,91.08
